Upper X, Upper Y, Lower X, Lower Y
0.0,0.0,0.0,0.0
0.0038220763918395363,0.012682908139153381,0.006228174864441871,-0.011684195985419891
0.008393238788426986,0.017989588929417703,0.011707263724135828,-0.016004790565740022
0.013093960469511714,0.022069305114768453,0.017056793299332507,-0.019111046484935872
0.01786416682197605,0.025506149779102566,0.022336838203149578,-0.021587056826904392
0.022680251791547684,0.028526406348068797,0.027571004489859354,-0.023659105017294322
0.027529934884835197,0.031246167856573963,0.03277157265285324,-0.025443284091012486
0.032405813932359195,0.033734436792771064,0.03794594486161065,-0.02700859653621189
0.03730299314428949,0.03603620631173809,0.04309901690596177,-0.02840003550797051
0.04221801881112836,0.03818275960645206,0.048234242495404304,-0.029648884199265375
0.04714833573448092,0.040196901679287377,0.053354176828333155,-0.030777947612470883
0.052091982798559595,0.04209587383369829,0.05846078102053589,-0.03180446705104129
0.05704741022274604,0.043893094036143374,0.06355560485263084,-0.03274186048143517
0.06201336373834609,0.04559925419263401,0.06863990259331222,-0.03360081980966388
0.06698880790027897,0.04722304291692162,0.07371470968766072,-0.03439003364947888
0.07197287344858792,0.048771639087406955,0.0787808953956332,-0.0351166808792809
0.07696482006964618,0.050251059227693046,0.08383920003085633,-0.035786778022672966
0.08196400936561461,0.051666408377796624,0.0888902619911693,-0.03640543011967183
0.08696988479404223,0.05302206533213551,0.0939346378190231,-0.036977015964695284
0.09198195649001298,0.05432182208413451,0.09897281737933375,-0.03750532755116817
0.0969997895858292,0.05556899059681407,0.10400523553979896,-0.0379936768421109
0.10202299508597641,0.05676648579555351,0.10903228129593313,-0.03844497876290282
0.10705122264194154,0.057916890951017964,0.11405430499624943,-0.03886181658420904
0.11208415476186973,0.05902250981413137,0.11907162413260264,-0.039246494056953525
0.11712150211924426,0.06008540864291405,0.1240845280315095,-0.03960107743915657
0.12216299971417068,0.06110745041774513,0.12909328169286446,-0.03992742971119732
0.12720840370380906,0.062090322949341525,0.13409812895950754,-0.040227238683792674
0.13225748876356094,0.06303556216101726,0.13909929515603706,-0.04050204028025667
0.13731004587334514,0.06394457152061239,0.14409698930253426,-0.040753237968429376
0.1423658804473863,0.06481863837272453,0.1490914059847745,-0.04098211909290837
0.147424810743893,0.06565894775483803,0.15408272694454925,-0.041189868691178036
0.15248666650453355,0.06646659415538213,0.1590711224401901,-0.04137758125166757
0.15755128778392555,0.06724259157636119,0.16405675241707948,-0.041546270776381386
0.1626185239372828,0.06798788219002404,0.16903976752000363,-0.0416968794375683
0.16768823274051897,0.06870334382238885,0.17402030997304885,-0.041830285061246454
0.17276027962192486,0.06938979645220852,0.1789985143479244,-0.04194730762616879
0.17783453698833765,0.07004800787915257,0.18397450823779302,-0.042048714932004766
0.18291088363174468,0.07067869868737976,0.18894841285066738,-0.04213522756291321
0.18798920420468207,0.07128254660863913,0.19392034353401139,-0.04220752325064313
0.19306938875474036,0.07186019037132335,0.19889041024023454,-0.04226624072358718
0.19815133231006915,0.0724122331075747,0.20385871794118715,-0.04231198311388768
0.20323493450906374,0.07293924537888971,0.20882536699847395,-0.04234532098304112
0.20832009926847317,0.07344176787113568,0.21379045349534592,-0.04236679501691483
0.2134067344850426,0.07392031380205434,0.21875406953505788,-0.04237691843325053
0.21849475176652447,0.07437537107784747,0.22371630350985747,-0.042376179138249995
0.2235840661884951,0.07480740423006109,0.22867724034416823,-0.04236504166345925
0.22867459607391688,0.07521685615949646,0.23363696171502785,-0.042343948909679546
0.23376626279280757,0.0756041497101172,0.23859554625241855,-0.04231332372087451
0.23885899057973603,0.07596968909275989,0.2435530697217715,-0.04227357030788073
0.24395270636716443,0.07631386117578523,0.24850960519062454,-0.042225075539058896
0.24904733963291395,0.07663703665754303,0.25346522318115633,-0.042168210112758814
0.25414282226024937,0.07693957113359996,0.2584199918101024,-0.04210332962454717
0.2592390884092646,0.07722180607003479,0.26337397691736864,-0.04203077554050272
0.2643360743984133,0.07748406969269885,0.26832724218450127,-0.041950876086476796
0.2694337185951656,0.0777266778011304,0.27327984924403037,-0.041863947062007655
0.2745319613148919,0.07794993451477025,0.27823185778058557,-0.041770292586536126
0.2796307447271782,0.07815413295822489,0.2831833256245806,-0.04167020578466868
0.2847300127688689,0.07833955589154401,0.28813430883917135,-0.04156396941645499
0.28982971106320765,0.07850647629080126,0.2930848618011139,-0.04145185645796877
0.2949297868445203,0.07865515788367639,0.2980350372760827,-0.0413341306368897
0.300030188887939,0.07878585564422089,0.3029848864889455,-0.04121104692726929
0.30513086744372225,0.07889881625053854,0.30793445918944357,-0.041082852007211366
0.3102317741757722,0.07899427850871554,0.3128838037136751,-0.040949784682802054
0.3153328621039871,0.07907247374598632,0.3178329670417415,-0.04081207628127584
0.32043408555012953,0.07913362617581424,0.3227819948518805,-0.04066995101609605
0.3255354000869163,0.07917795323729586,0.32773093157137523,-0.040523626326359266
0.3306367624900685,0.0792056659110556,0.33267982042450434,-0.040373313192689914
0.3357381306930847,0.07921696901358716,0.3376287034777696,-0.04021921643158166
0.34083946374451984,0.07921206147180657,0.3425776216826158,-0.040061534969950546
0.34594072176757684,0.07919113657941583,0.34752661491584025,-0.03990046210149861
0.351041865921832,0.07915438223652371,0.35247572201786653,-0.03973618572633458
0.35614285836693377,0.07910198117383796,0.3574249808290461,-0.03956888857516621
0.3612436622281267,0.07903411116262256,0.3623744282241346,-0.03939874841925749
0.3663442415634675,0.07895094521150622,0.36732410014507516,-0.03922593826723715
0.37144456133260995,0.07885265175113207,0.3722740316322142,-0.039050626549748266
